NUTTAB index,name,quantity,quantity_unit,notes
"F005370","packet, single serve",4.7,"g","Size of an individual serve packet of margarine available in 2012."
"F005373","packet, single serve",4.7,"g","Size of an individual serve packet of margarine available in 2012."
"F005319","packet, single serve",4.7,"g","Size of an individual serve packet of margarine available in 2012."
"F005309","packet, single serve",4.7,"g","Size of an individual serve packet of margarine available in 2012."
"F005310","packet, single serve",4.7,"g","Size of an individual serve packet of margarine available in 2012."
"F005345","packet, single serve",4.7,"g","Size of an individual serve packet of margarine available in 2012."
"F003729","regular",44.0,"g","Data provided by the Australian Egg Corporation in 2007. Calculated from edible portion of a 50 g egg"
"F003721","regular",41.0,"g","Data provided by the Australian Egg Corporation in 2007. Calculated from edible portion of a 50 g egg"
"F003725","regular",42.0,"g","Calculated based on the raw weight assuming -4% weight change factor"
"F003718","regular",39.0,"g","Calculated from raw weight assuming -12% weight change factor"
"F003724","regular",44.0,"g","Data provided by the Australian Egg Corporation in 2007. Calculated from edible portion of a 50 g egg"
"F003723","regular",44.0,"g","Data provided by the Australian Egg Corporation in 2007. Calculated from edible portion of a 50 g egg"
"F000086","medium",164.0,"g","FSANZ 2011. Student research project. Average size of medium Fuji, Pink Lady, Red Delicious and Royal Gala varieties. Edible portion of 92%"
"F000091","medium",164.0,"g","FSANZ 2011. Student research project. Average size of medium Fuji, Pink Lady, Red Delicious and Royal Gala varieties. Edible portion of 92%"
"F000092","medium",151.0,"g","FSANZ 2011. Student research project. Average size of medium Granny smith and Golden Delicious varieties. Edible portion of 91%."
"F000095","medium",153.0,"g","FSANZ 2011. Student research project. Average size of medium Granny smith and Golden Delicious varieties. Edible portion of 91%."
"F000099","medium",162.0,"g","FSANZ 2011. Student research project. Average size of medium Fuji, Pink Lady, Red Delicious and Royal Gala varieties. Edible portion of 92%"
"F000105","medium",164.0,"g","FSANZ 2011. Student research project. Average size of medium Fuji, Pink Lady, Red Delicious and Royal Gala varieties. Edible portion of 92%"
"F000107","medium",164.0,"g","FSANZ 2011. Student research project. Average size of medium Fuji, Pink Lady, Red Delicious and Royal Gala varieties. Edible portion of 92%"
"F000111","medium",164.0,"g","FSANZ 2011. Student research project. Average size of medium Fuji, Pink Lady, Red Delicious and Royal Gala varieties. Edible portion of 92%"
"F000110","medium",164.0,"g","FSANZ 2011. Student research project. Average size of medium Fuji, Pink Lady, Red Delicious and Royal Gala varieties. Edible portion of 92%"
"F000134","medium",20.0,"g","Supermarket search undertaken by FSANZ in 2011."
"F000262","medium",98.0,"g","FSANZ 2011. Student research project. Assumes edible portion 65%."
"F000267","medium",78.0,"g","Assumes mid-point between small and large. Assumes 67% edible portion."
"F003423","regular",468.0,"g","Based on average size of 650 g from Custard Apples Australia Inc. and assuming 72% edible portion."
"F003496","regular",5.0,"g","From AUSNUT 2007 record 06C10144 Date, dried"
"F003818","regular",30.0,"g","From the New Zealand Food Files 2009 record L67, in 2012."
"F003832","regular",19.0,"g","From AUSNUT 2007 record 06D10304 Fig, dried"
"F003834","regular",50.0,"g","From AUSNUT 2007 record 06D10303 Fig, unpeeled, raw"
"F004262","medium",258.0,"g","Assumes the mid-point between small and large. Assumes 69% edible portion."
"F004286","medium",90.0,"g","From AUSNUT 2007 record 06D10311 Guava, raw"
"F004594","medium",805.0,"g","From NUTTAB 2010 record 06D10416 Jackfruit, raw"
"F004816","medium",78.0,"g","From AUSNUT 2007 record 06D101313 Kiwifruit, hayward, peeled, raw"
"F004815","medium",78.0,"g","From AUSNUT 2007 record 06D101313 Kiwifruit, hayward, peeled, raw"
"F005174","medium",99.0,"g","From AUSNUT 2007 record 06B10044 Lemon, peeled, raw"
"F005199","medium",49.0,"g","From AUSNUT 2007 record 06B10046 Lime, peeled, raw"
"F005244","medium",13.0,"g","From NUTTAB 2010 record 06D10407 Loquat, peeled, raw"
"F005255","medium",10.0,"g","From NUTTAB 2010 record 06D10408 Lychee, peeled, raw"
"F005293","medium",75.0,"g","Supermarket search undertaken by FSANZ in 2011. Assumes 76% edible portion."
"F005299","medium, except R2E2",294.0,"g","FSANZ 2011. Supermarket search. Assumes 68% edible portion."
"F006021","medium",151.0,"g","From AUSNUT 1999 record 06C10059 Nectarine, raw"
"F006277","medium",131.0,"g","From AUSNUT 1999 record 06B10016 orange, medium, 6-8cm diameter"
"F006276","medium",162.0,"g","Manually weighed by FSANZ in 2011. Note - AUSNUT value was 131.00"
"F006279","medium",131.0,"g","From AUSNUT2007 record 06B10056  Orange, valencia, peeled, raw"
"F006333","medium",18.0,"g","From AUSNUT 2007 record 06D10321 Passionfruit"
"F006573","medium",145.0,"g","From AUSNUT 2007 record 06C10146 Peach, fresh, unpeeled, raw"
"F006604","medium",190.0,"g","From NUTTAB 2010 record 06D10447 Pear, nashi, unpeeled, raw"
"F006628","medium",76.0,"g","From NUTTAB 2010 record 06D10410 Persimmon, peeled, raw"
"F006708","slice",40.0,"g","AUSNUT 2007 record 06D10330 pineapple, canned, drained"
"F006832","medium",66.0,"g","From AUSNUT 2007 record 06C10158 unpeeled, raw, not further specified"
"F006826","all sizes",31.0,"g","AUSNUT 2007 record 06C10155 Plum, dark, canned in syrup, drained"
"F006842","all sizes",240.0,"g","From AUSNUT 2007 record 06D10332 Pomegranate, peeled, raw"
